movie_id,male_count,female_count,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,occupation_15,occupation_16,occupation_17,occupation_18,occupation_19,occupation_20,age_50-55,age_Under 18,age_18-24,age_35-44,age_56+,age_25-34,age_45-49,Horror,Animation,Romance,Children's,Western,Crime,Film-Noir,Comedy,Adventure,Musical,Thriller,War,Documentary,Mystery,Action,Fantasy,Sci-Fi,Drama,average score
1,1486.0,591.0,270.0,157.0,86.0,67.0,297.0,39.0,76.0,201.0,2.0,35.0,94.0,35.0,140.0,17.0,107.0,55.0,77.0,168.0,21.0,25.0,108.0,108.0,112.0,448.0,423.0,53.0,790.0,143.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146846413095811
2,525.0,176.0,104.0,53.0,34.0,21.0,103.0,15.0,28.0,69.0,3.0,8.0,31.0,11.0,35.0,2.0,30.0,19.0,29.0,54.0,14.0,10.0,28.0,45.0,36.0,154.0,143.0,10.0,261.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.20114122681883
3,342.0,136.0,67.0,37.0,18.0,22.0,66.0,8.0,21.0,44.0,1.0,8.0,15.0,11.0,25.0,11.0,24.0,9.0,24.0,35.0,7.0,6.0,19.0,33.0,18.0,107.0,81.0,30.0,176.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01673640167364
4,85.0,85.0,28.0,21.0,6.0,6.0,28.0,5.0,8.0,18.0,,,2.0,,9.0,2.0,6.0,2.0,7.0,10.0,1.0,2.0,9.0,7.0,3.0,39.0,28.0,4.0,77.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7294117647058824
5,188.0,108.0,37.0,26.0,9.0,14.0,43.0,9.0,12.0,35.0,1.0,7.0,13.0,5.0,16.0,,20.0,2.0,13.0,11.0,3.0,5.0,15.0,20.0,15.0,65.0,58.0,3.0,117.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0067567567567566
6,811.0,129.0,122.0,57.0,41.0,24.0,143.0,22.0,29.0,105.0,4.0,4.0,16.0,21.0,54.0,9.0,62.0,21.0,41.0,79.0,10.0,19.0,57.0,52.0,21.0,221.0,158.0,27.0,416.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8787234042553194
7,254.0,204.0,60.0,38.0,24.0,20.0,56.0,7.0,14.0,49.0,1.0,20.0,12.0,8.0,26.0,9.0,33.0,7.0,19.0,21.0,4.0,8.0,22.0,31.0,14.0,74.0,96.0,22.0,180.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.410480349344978
8,40.0,28.0,12.0,4.0,1.0,1.0,16.0,,1.0,2.0,,3.0,11.0,2.0,1.0,1.0,1.0,,3.0,4.0,,,5.0,3.0,12.0,25.0,10.0,2.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.014705882352941
9,92.0,10.0,23.0,6.0,1.0,1.0,20.0,3.0,5.0,9.0,1.0,,5.0,1.0,5.0,1.0,4.0,2.0,5.0,7.0,,2.0,1.0,3.0,3.0,31.0,16.0,2.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.656862745098039
10,754.0,134.0,109.0,60.0,36.0,23.0,150.0,20.0,25.0,97.0,4.0,10.0,37.0,9.0,51.0,7.0,52.0,21.0,41.0,82.0,9.0,9.0,36.0,48.0,44.0,216.0,141.0,19.0,365.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5405405405405403
